,Date,Open,High,Low,Close,Adj_Close,Volume,SlowD,SlowK,WILLR,MACD,MACD_Signal,MACD_Hist,RSI,ADX,CCI,Chaikin A/D,OBV
4332,2017-08-21,492.1,503.4,491.8,494.8,494.8,17884400,63.4504,53.8322,-53.4591,-6.6148,-4.7860,-1.8288,38.5331,24.9906,19.8425,73997246.2662,1245081534.0000
4333,2017-08-22,496.0,507.0,496.0,499.2,499.2,6654272,57.4198,49.1033,-37.9644,-6.3520,-5.0992,-1.2528,43.1983,22.6334,94.8925,71214565.2210,1251735806.0000
4334,2017-08-23,505.0,505.8,500.15,502.65,502.65,3288488,54.0447,59.1986,-16.1111,-5.3557,-5.1505,-0.2052,52.4518,20.5120,124.3609,70836246.6831,1255024294.0000
4335,2017-08-24,503.0,510.5,502.05,506.85,506.85,7157375,60.0903,71.9691,-11.9672,-4.6737,-5.0551,0.3814,50.4235,19.7409,140.3329,71810346.2497,1262181669.0000
4336,2017-08-28,507.5,512.9,506.2,510.6,510.6,3724389,71.0625,82.0198,-6.9909,-3.7271,-4.7895,1.0624,54.7937,19.5829,145.0238,72977676.6239,1265906058.0000
4337,2017-08-29,509.4,509.45,501.0,503.6,503.6,3266295,75.3735,72.1314,-37.3494,-2.7914,-4.3899,1.5985,56.5889,17.9174,63.2444,71721411.1002,1262639763.0000
4338,2017-08-30,506.2,509.5,502.3,503.9,503.9,3972126,69.5484,54.4938,-36.1447,-2.2818,-3.9683,1.6865,52.6745,16.4318,57.7876,69514678.1115,1266611889.0000
4339,2017-08-31,504.0,505.4,498.55,500.35,500.35,4491876,51.8668,28.9752,-54.4469,-2.0320,-3.5810,1.5490,50.0307,15.5423,-7.1339,67383517.6068,1262120013.0000
4340,2017-09-01,502.0,509.8,498.5,507.55,507.55,4569367,39.4677,34.9341,-23.2106,-1.9727,-3.2594,1.2867,47.6167,14.5057,47.6602,70133223.2497,1266689380.0000
4341,2017-09-04,506.6,509.0,499.7,501.75,501.75,3744616,32.8755,34.7173,-52.8436,-1.5368,-2.9149,1.3780,53.3669,13.5727,-4.8430,68039451.9313,1262944764.0000
4342,2017-09-05,502.25,506.65,501.5,503.4,503.4,3216819,38.2139,44.9903,-56.2131,-1.5248,-2.6369,1.1120,47.8481,12.7330,-18.8659,67196203.3856,1266161583.0000
4343,2017-09-06,502.0,502.0,491.5,492.85,492.85,4947660,35.4026,26.5003,-93.6916,-1.5180,-2.4131,0.8951,47.5342,13.7745,-229.1353,63520804.4686,1261213923.0000
4344,2017-09-07,494.0,499.0,494.0,496.6,496.6,4564617,32.5645,26.2029,-76.1682,-2.1335,-2.3572,0.2237,38.5438,14.7119,-137.1625,63703400.1037,1265778540.0000
4345,2017-09-08,498.0,498.5,491.85,494.0,494.0,3662579,23.0713,16.5106,-88.3178,-2.2723,-2.3402,0.0679,44.3873,16.0683,-121.0106,62409100.7968,1262115961.0000
4346,2017-09-11,495.35,497.4,492.65,493.9,493.9,3590293,20.6819,19.3321,-86.8853,-2.5666,-2.3855,-0.1811,41.4838,17.2890,-94.6526,60708435.6915,1258525668.0000
4347,2017-09-12,494.9,502.2,493.25,496.5,496.5,3324949,20.4871,25.6187,-72.6776,-2.8038,-2.4691,-0.3347,40.9780,16.3952,-40.8548,59798250.8840,1261850617.0000
4348,2017-09-13,496.1,505.6,495.05,499.3,499.3,4430874,27.9561,38.9174,-57.3771,-2.8620,-2.5477,-0.3143,43.0358,15.1008,13.3458,58937269.2766,1266281491.0000
4349,2017-09-14,505.0,521.8,502.1,519.75,519.75,15168429,43.0749,64.6886,-6.7656,-2.1649,-2.4711,0.3062,55.7494,17.4670,187.5560,70948832.7090,1281449920.0000
4350,2017-09-15,517.95,520.0,511.0,516.15,516.15,8942804,59.8636,75.9849,-18.6468,-0.5611,-2.0891,1.5280,67.4827,19.5967,151.0942,72240618.7595,1272507116.0000
4351,2017-09-18,518.65,526.0,518.3,524.55,524.55,7337260,76.8184,89.7818,-4.2029,0.7577,-1.5198,2.2774,67.9924,22.3907,151.0343,76814476.5604,1279844376.0000
4352,2017-09-19,522.0,524.1,517.5,520.75,520.75,2386279,84.0586,86.4091,-15.2174,2.0495,-0.8059,2.8554,70.4551,24.5987,97.7174,76778329.3639,1277458097.0000
4353,2017-09-20,516.75,522.5,516.75,519.45,519.45,8297561,86.6418,83.7346,-19.1801,2.6195,-0.1208,2.7403,62.1310,26.2797,71.8243,76273295.0668,1269160536.0000
4354,2017-09-21,518.0,522.5,505.65,512.55,512.55,3103034,77.7743,63.1793,-39.3851,3.1359,0.5305,2.6054,63.2787,24.1382,27.4206,75711615.1745,1266057502.0000
4355,2017-09-22,509.4,510.5,503.2,505.3,505.3,4546160,61.8281,38.5704,-62.0690,2.8187,0.9881,1.8306,51.3754,21.8629,-31.9661,73781028.4856,1261511342.0000
